order_id,product_name,order_date,quantity,price
CA-2016-152156,Furniture,11-08-2016,2,262
CA-2016-152156,Furniture,11-08-2016,3,732
CA-2016-138688,Office Supplies,06-12-2016,2,15
US-2015-108966,Furniture,10-11-2015,5,958
US-2015-108966,Office Supplies,10-11-2015,2,22
CA-2014-115812,Furniture,06-09-2014,7,49
CA-2014-115812,Office Supplies,06-09-2014,4,7
CA-2014-115812,Technology,06-09-2014,6,907
CA-2014-115812,Office Supplies,06-09-2014,3,19
CA-2014-115812,Office Supplies,06-09-2014,5,115
CA-2014-115812,Furniture,06-09-2014,9,1706
CA-2014-115812,Technology,06-09-2014,4,911
CA-2017-114412,Office Supplies,4/15/2017,3,16
CA-2016-161389,Office Supplies,12-05-2016,3,408
US-2015-118983,Office Supplies,11/22/2015,5,69
US-2015-118983,Office Supplies,11/22/2015,3,3
CA-2014-105893,Office Supplies,11-11-2014,6,666
CA-2014-167164,Office Supplies,5/13/2014,2,56
CA-2014-143336,Office Supplies,8/27/2014,2,9
CA-2014-143336,Technology,8/27/2014,3,213
CA-2014-143336,Office Supplies,8/27/2014,4,23
CA-2016-137330,Office Supplies,12-09-2016,7,19
CA-2016-137330,Office Supplies,12-09-2016,7,60
US-2017-156909,Furniture,7/16/2017,2,71
CA-2015-106320,Furniture,9/25/2015,3,1045
CA-2016-121755,Office Supplies,1/16/2016,2,12
CA-2016-121755,Technology,1/16/2016,3,91
US-2015-150630,Furniture,9/17/2015,7,3083
US-2015-150630,Office Supplies,9/17/2015,2,10
US-2015-150630,Furniture,9/17/2015,3,124
US-2015-150630,Office Supplies,9/17/2015,2,3
US-2015-150630,Office Supplies,9/17/2015,6,86
US-2015-150630,Office Supplies,9/17/2015,6,7
US-2015-150630,Office Supplies,9/17/2015,2,16
CA-2017-107727,Office Supplies,10/19/2017,3,29
CA-2016-117590,Technology,12-08-2016,7,1098
CA-2016-117590,Furniture,12-08-2016,5,191
CA-2015-117415,Office Supplies,12/27/2015,9,113
CA-2015-117415,Furniture,12/27/2015,3,532
CA-2015-117415,Furniture,12/27/2015,3,212
CA-2015-117415,Technology,12/27/2015,4,371
CA-2017-120999,Technology,09-10-2017,4,147
CA-2016-101343,Office Supplies,7/17/2016,2,78
CA-2017-139619,Office Supplies,9/19/2017,2,96
CA-2016-118255,Technology,03-11-2016,2,46
CA-2016-118255,Office Supplies,03-11-2016,2,17
CA-2014-146703,Office Supplies,10/20/2014,4,212
CA-2016-169194,Technology,6/20/2016,3,45
CA-2016-169194,Technology,6/20/2016,2,22
CA-2015-115742,Office Supplies,4/18/2015,6,38
CA-2015-115742,Office Supplies,4/18/2015,6,75
CA-2015-115742,Furniture,4/18/2015,2,6
CA-2015-115742,Furniture,4/18/2015,1,90
CA-2016-105816,Office Supplies,12-11-2016,7,15
CA-2016-105816,Technology,12-11-2016,5,1030
CA-2016-111682,Office Supplies,6/17/2016,6,209
CA-2016-111682,Office Supplies,6/17/2016,5,32
CA-2016-111682,Furniture,6/17/2016,5,319
CA-2016-111682,Office Supplies,6/17/2016,2,15
CA-2016-111682,Technology,6/17/2016,2,30
CA-2016-111682,Office Supplies,6/17/2016,4,48
CA-2016-111682,Office Supplies,6/17/2016,1,2
CA-2015-135545,Technology,11/24/2015,2,14
CA-2015-135545,Office Supplies,11/24/2015,6,26
CA-2015-135545,Office Supplies,11/24/2015,3,147
CA-2015-135545,Furniture,11/24/2015,4,80
US-2015-164175,Furniture,4/30/2015,5,213
CA-2014-106376,Office Supplies,12-05-2014,8,1113
CA-2014-106376,Technology,12-05-2014,4,168
CA-2016-119823,Office Supplies,06-04-2016,2,76
CA-2016-106075,Office Supplies,9/18/2016,1,5
CA-2017-114440,Office Supplies,9/14/2017,3,19
US-2015-134026,Furniture,4/26/2015,8,832
US-2015-134026,Furniture,4/26/2015,2,97
US-2015-134026,Office Supplies,4/26/2015,1,73
US-2017-118038,Office Supplies,12-09-2017,3,1
US-2017-118038,Furniture,12-09-2017,3,10
US-2017-118038,Office Supplies,12-09-2017,3,27
US-2014-147606,Furniture,11/26/2014,5,19
CA-2016-127208,Office Supplies,06-12-2016,1,208
CA-2016-127208,Office Supplies,06-12-2016,3,17
CA-2014-139451,Office Supplies,10-12-2014,5,15
CA-2014-139451,Office Supplies,10-12-2014,1,21
CA-2015-149734,Office Supplies,09-03-2015,7,201
US-2017-119662,Office Supplies,11/13/2017,3,230
CA-2017-140088,Furniture,5/28/2017,2,302
CA-2017-155558,Technology,10/26/2017,1,20
CA-2017-155558,Office Supplies,10/26/2017,2,6
CA-2016-159695,Office Supplies,04-05-2016,7,158
CA-2016-109806,Office Supplies,9/17/2016,3,20
CA-2016-109806,Technology,9/17/2016,2,74
CA-2016-109806,Office Supplies,9/17/2016,1,6
CA-2015-149587,Office Supplies,1/31/2015,2,13
CA-2015-149587,Furniture,1/31/2015,3,53
CA-2015-149587,Office Supplies,1/31/2015,2,33
US-2017-109484,Office Supplies,11-06-2017,1,6
CA-2017-161018,Furniture,11-09-2017,7,97
CA-2017-157833,Office Supplies,6/17/2017,3,51
CA-2016-149223,Office Supplies,09-06-2016,6,78
CA-2016-158568,Office Supplies,8/29/2016,7,65
CA-2016-158568,Technology,8/29/2016,3,96
CA-2016-158568,Office Supplies,8/29/2016,3,2
CA-2016-129903,Office Supplies,12-01-2016,4,24
US-2015-156867,Technology,11/13/2015,6,239
US-2015-156867,Furniture,11/13/2015,3,102
US-2015-156867,Office Supplies,11/13/2015,3,37
CA-2017-119004,Technology,11/23/2017,8,74
CA-2017-119004,Technology,11/23/2017,1,28
CA-2017-119004,Office Supplies,11/23/2017,1,3
CA-2015-129476,Technology,10/15/2015,5,340
CA-2017-146780,Furniture,12/25/2017,2,42
CA-2016-128867,Office Supplies,11-03-2016,2,76
CA-2016-128867,Office Supplies,11-03-2016,6,27
CA-2014-115259,Office Supplies,8/25/2014,14,40
CA-2014-115259,Office Supplies,8/25/2014,2,5
CA-2014-115259,Office Supplies,8/25/2014,3,24
CA-2014-115259,Office Supplies,8/25/2014,6,130
CA-2015-110457,Furniture,03-02-2015,3,788
US-2015-136476,Office Supplies,04-05-2015,1,158
CA-2016-103730,Furniture,06-12-2016,3,47
CA-2016-103730,Office Supplies,06-12-2016,4,31
CA-2016-103730,Office Supplies,06-12-2016,6,227
CA-2016-103730,Office Supplies,06-12-2016,9,115
CA-2016-103730,Technology,06-12-2016,7,68
US-2014-152030,Furniture,12/26/2014,3,601
US-2014-134614,Furniture,9/20/2014,6,618
US-2017-107272,Office Supplies,11-05-2017,2,2
US-2017-107272,Office Supplies,11-05-2017,7,244
US-2016-125969,Furniture,11-06-2016,2,81
US-2016-125969,Furniture,11-06-2016,3,239
US-2017-164147,Technology,02-02-2017,5,60
US-2017-164147,Office Supplies,02-02-2017,2,78
US-2017-164147,Office Supplies,02-02-2017,9,21
CA-2016-145583,Office Supplies,10/13/2016,3,20
CA-2016-145583,Office Supplies,10/13/2016,1,35
CA-2016-145583,Office Supplies,10/13/2016,4,12
CA-2016-145583,Office Supplies,10/13/2016,2,4
CA-2016-145583,Office Supplies,10/13/2016,3,76
CA-2016-145583,Office Supplies,10/13/2016,6,66
CA-2016-145583,Furniture,10/13/2016,14,43
CA-2016-110366,Furniture,09-05-2016,2,83
CA-2017-106180,Office Supplies,9/18/2017,3,9
CA-2017-106180,Office Supplies,9/18/2017,3,11
